early_anchor_min,late_anchor_min,fixed_bff_early_p_transport,fixed_bff_late_p_transport,fixed_bff_pair_exceed,fixed_base60_early_p_transport,fixed_base60_late_p_transport,fixed_base60_pair_exceed,fixed_nrgf60_early_p_transport,fixed_nrgf60_late_p_transport,fixed_nrgf60_pair_exceed,fixed_representation_exceedance_count,fixed_primary_pair_exceed,spherical_bff_early_p_transport,spherical_bff_late_p_transport,spherical_bff_pair_exceed,spherical_base60_early_p_transport,spherical_base60_late_p_transport,spherical_base60_pair_exceed,spherical_nrgf60_early_p_transport,spherical_nrgf60_late_p_transport,spherical_nrgf60_pair_exceed,spherical_representation_exceedance_count,spherical_primary_pair_exceed,measured_bff_early_p_transport,measured_bff_late_p_transport,measured_bff_pair_exceed,measured_base60_early_p_transport,measured_base60_late_p_transport,measured_base60_pair_exceed,measured_nrgf60_early_p_transport,measured_nrgf60_late_p_transport,measured_nrgf60_pair_exceed,measured_representation_exceedance_count,measured_primary_pair_exceed
240.0,600.0,0.052530341011061084,0.16371796177140274,False,0.054099942823364694,0.13857793972927193,False,0.07179988620450684,0.19869071151429515,False,0,False,0.17210025960407382,0.15470859878995885,False,0.05424984252185788,0.1674779226864968,False,0.11551230195998224,0.3161275030783671,False,0,False,0.07047452235179581,0.1943450870474272,False,0.08374109818938187,0.2641326447658262,False,0.09696101315636323,0.3384662197411171,False,0,False
270.0,630.0,0.019556953754915812,0.25434215673654303,False,0.11756355062727311,0.4071651624980168,False,0.1562301887522763,0.3901980482390668,False,0,False,0.09648543548984645,0.32275189318667247,False,0.0934470101080773,0.41800132971458215,False,0.1657088691486872,0.4492945837742585,False,0,False,0.12263489170312106,0.2781802950537069,False,0.1575292345421186,0.3550898894422888,False,0.16187491045619973,0.47204316755924025,False,0,False
300.0,660.0,0.018686057462762532,0.2926282298127595,False,0.222444151594219,0.5619403669531831,False,0.15208281744388089,0.570946280325662,False,0,False,0.07753116448635614,0.49626272978393215,False,0.2296192249813163,0.5141397552611044,False,0.10582052993969834,0.5675364208865852,False,0,False,0.06047598586583464,0.4853221867220573,False,0.16880575342413015,0.5000107560819198,False,0.11391385743946898,0.557711392480327,False,0,False
330.0,690.0,0.37045314041968497,0.2689669898384651,False,0.1400120655682558,0.5033801973295917,False,0.11562339633048442,0.47316352481117196,False,0,False,0.1230917001806861,0.49459127793793856,True,0.12031589927195256,0.4444243528241423,False,0.06464116447338697,0.3878792978808664,False,1,False,0.07546802754429642,0.492693731032919,False,0.05974330141802868,0.4457124283188495,False,0.05377512585909852,0.395147331373228,False,0,False
360.0,720.0,0.27189218435820794,0.35947495462279355,False,0.10832548102684017,0.3579665651029598,False,0.07037284025494057,0.33340574991485156,False,0,False,0.187090860017032,0.32830192239801853,False,0.12899639171037028,0.43032091220056445,False,0.04926544469932894,0.32276491577162264,False,0,False,0.1934886840321487,0.32067045168967057,False,0.1304871104628886,0.3579665651029598,False,0.10420118788482792,0.2760610200368507,False,0,False
390.0,750.0,0.17914335676368215,0.5510247975628629,True,0.2039228713380029,0.42517271869588624,False,0.1615119195330689,0.3534104938576887,False,1,False,0.15810047443039554,0.2788478408873015,False,0.18151738172251097,0.4179285120550363,False,0.3162353499168904,0.37997957312813,False,0,False,0.2662751756187701,0.23624658536461995,False,0.25284143208138343,0.4042490134456347,True,0.3005779505324609,0.37228678971336293,False,1,False
420.0,780.0,0.17666814353411933,0.6332040425715071,True,0.15767677515003595,0.36087887134666086,False,0.14138958639756113,0.36316190801448767,False,1,False,0.123318303417154,0.3674351386966218,True,0.13419271284008558,0.3360855361228329,False,0.22347523023601382,0.370479116510521,False,1,False,0.16769536903017934,0.35791467013474154,False,0.18080253313361883,0.33908791432984486,True,0.18479570605380563,0.3863539408115305,False,1,False
450.0,810.0,0.10224046458862703,0.7337574760816631,False,0.07068849744589814,0.28658238844172945,False,0.07547549453145294,0.325615242558557,False,0,False,0.13413346462349915,0.5090359582553011,True,0.08535086418313716,0.28145314823008866,False,0.10431361566979705,0.34708446257302017,False,1,False,0.14095552285420465,0.516057253492673,False,0.08952767276228295,0.28353641421843817,False,0.09079595686143946,0.3614351240160297,False,0,False
480.0,840.0,0.0935586539883409,0.5344405046890417,False,0.07849557020098404,0.15797210080585916,False,0.08716224771627307,0.1679036612167809,False,0,False,0.11061701978232574,0.43595885945893764,False,0.09135298344474925,0.20791122163055958,False,0.08119642800045766,0.20141320654538633,False,0,False,0.10190279866822777,0.5051973518448071,False,0.05579478303978762,0.22957638299117683,False,0.06440204022744198,0.20068636172239418,False,0,False
510.0,870.0,0.09875612989138562,0.07772900216789075,False,0.15851750827912833,0.29481945399075893,False,0.20397966964685285,0.2802726398265885,False,0,False,0.07473282126091915,0.052351945261980976,False,0.16170713331722592,0.3241336953365561,False,0.1776535834322428,0.28996087291566025,False,0,False,0.07959819130473775,0.06941653997678132,False,0.16621576510696026,0.32597302167305797,False,0.17465560397088803,0.2888278622507631,False,0,False
